01.01.2011	1000	9100	172	Solde à nouveau Caisse	10051.28	0.00	0.000000	0	1	0	0		
01.01.2011	9100	1010	173	Solde à nouveau CCP	4420.44	0.00	0.000000	0	1	0	0		
01.01.2011	1020	9100	174	Solde à nouveau Compte courant	8008.19	0.00	0.000000	0	1	0	0		
01.01.2011	1022	9100	175	Solde à nouveau Compte courant EUR	6040.00	4000.00	1.510000	0	1	0	0		
01.01.2011	1023	9100	176	Solde à nouveau Compte courant USD	14623.13	8840.00	1.654200	0	1	0	0		
01.01.2011	1100	9100	177	Solde à nouveau Créances envers des tiers	3117.55	0.00	0.000000	0	1	0	0		
01.01.2011	1170	9100	178	Solde à nouveau TVA à récupérer s/achats matières et prest.	1862.00	0.00	0.000000	0	1	0	0		
01.01.2011	1171	9100	179	Solde à nouveau TVA à récupérer s/invest. autres ch. exploit.	1384.32	0.00	0.000000	0	1	0	0		
01.01.2011	1200	9100	180	Solde à nouveau Stocks	1200.00	0.00	0.000000	0	1	0	0		
01.01.2011	9100	2000	181	Solde à nouveau Créanciers	11042.15	0.00	0.000000	0	1	0	0		
01.01.2011	9100	2200	182	Solde à nouveau TVA due	3732.18	0.00	0.000000	0	1	0	0		
01.01.2011	9100	2800	183	Solde à nouveau Capital	27091.70	0.00	0.000000	0	1	0	0		
05.01.2011	4200	...	1	Fact Maxo 01, (IPM) net	875.74	0.00	0.000000	1	1	1	1240	IPM	Fact Maxo 01
05.01.2011	1170	...	1	Fact Maxo 01, 7.6% deTVA (IPM)	66.56	0.00	0.000000	1	1	1	1240	IPM	
05.01.2011	...	2000	1	Fact Maxo 01 Total, (IPM)	942.30	0.00	0.000000	1	1	1	1240	IPM	
06.01.2011	1010	1000	2	Viré à poste	4000.00	0.00	0.000000	0	1	0	0		
07.01.2011	6000	1010	3	Loyer janvier	2500.00	0.00	0.000000	0	0	0	0		
12.01.2011	6400	...	4	Electricité Janvier, (IPI) net	87.64	0.00	0.000000	2	0	1	1241	IPI	Electricité Janvier
12.01.2011	1171	...	4	Electricité Janvier, 7.6% deTVA (IPI)	6.66	0.00	0.000000	2	0	1	1241	IPI	Electricité Janvier
12.01.2011	6430	...	4	Eau 1er trimestre, (IPIRED) net	45.00	0.00	0.000000	2	0	1	1242	IPIRED	Eau 1er trimestre
12.01.2011	1171	...	4	Eau 1er trimestre, 2.4% deTVA (IPIRED)	1.08	0.00	0.000000	2	0	1	1242	IPIRED	Eau 1er trimestre
12.01.2011	6510	...	4	Tél déc.-Janv., (IPI) net, (IPI) net	100.00	0.00	0.000000	2	0	1	1243	IPI	Tél déc.-Janv., (IPI) net
12.01.2011	1171	...	4	Tél déc.-Janv., (IPI) net, 7.6% deTVA (IPI)	7.60	0.00	0.000000	2	0	1	1243	IPI	Tél déc.-Janv., (IPI) net
